serialno,brokersymbol,exchangesymbol,displayname,type,exchange,primaryexchange,currency,expiry,option,right,minsize,barstarttime,streaming,strikedistance,strategy
286,JUBLFOOD,JUBLFOOD,,FUT,NSE,,INR,20190829,,,500,,2,20.0,DATA
287,ARVIND,ARVIND,,FUT,NSE,,INR,20190829,,,6000,,2,2.5,DATA
288,BANKBAROD,BANKBARODA,,FUT,NSE,,INR,20190829,,,4500,,2,2.5,DATA
289,GMRINFRA,GMRINFRA,,FUT,NSE,,INR,20190829,,,45000,,2,1.0,DATA
290,AXISBANK,AXISBANK,,FUT,NSE,,INR,20190829,,,1200,,2,10.0,DATA
291,RAMCOCEM,RAMCOCEM,,FUT,NSE,,INR,20190829,,,800,,2,10.0,DATA
292,VOLTAS,VOLTAS,,FUT,NSE,,INR,20190829,,,1000,,2,10.0,DATA
293,RELINFRA,RELINFRA,,FUT,NSE,,INR,20190829,,,4000,,2,5.0,DATA
294,MUTHOOTFI,MUTHOOTFIN,,FUT,NSE,,INR,20190829,,,1500,,2,10.0,DATA
295,KAJARIACE,KAJARIACER,,FUT,NSE,,INR,20190829,,,1300,,2,10.0,DATA
296,IDEA,IDEA,,FUT,NSE,,INR,20190829,,,28000,,2,1.0,DATA
297,JSWSTEEL,JSWSTEEL,,FUT,NSE,,INR,20190829,,,2000,,2,5.0,DATA
298,MMFIN,M&MFIN,,FUT,NSE,,INR,20190829,,,1250,,2,10.0,DATA
299,SAIL,SAIL,,FUT,NSE,,INR,20190829,,,12000,,2,1.0,DATA
300,ASIANPAIN,ASIANPAINT,,FUT,NSE,,INR,20190829,,,600,,2,20.0,DATA
301,BATAINDIA,BATAINDIA,,FUT,NSE,,INR,20190829,,,550,,2,20.0,DATA
302,TVSMOTOR,TVSMOTOR,,FUT,NSE,,INR,20190829,,,1100,,2,10.0,DATA
303,ULTRACEMC,ULTRACEMCO,,FUT,NSE,,INR,20190829,,,200,,2,100.0,DATA
304,IOC,IOC,,FUT,NSE,,INR,20190829,,,3500,,2,2.5,DATA
305,ADANIENT,ADANIENT,,FUT,NSE,,INR,20190829,,,4000,,2,5.0,DATA
306,ONGC,ONGC,,FUT,NSE,,INR,20190829,,,3750,,2,2.5,DATA
307,BOSCHLTD,BOSCHLTD,,FUT,NSE,,INR,20190829,,,30,,2,250.0,DATA
308,GLENMARK,GLENMARK,,FUT,NSE,,INR,20190829,,,1000,,2,10.0,DATA
309,HAVELLS,HAVELLS,,FUT,NSE,,INR,20190829,,,1000,,2,10.0,DATA
310,HINDZINC,HINDZINC,,FUT,NSE,,INR,20190829,,,3200,,2,5.0,DATA
311,KOTAKBANK,KOTAKBANK,,FUT,NSE,,INR,20190829,,,400,,2,20.0,DATA
312,PETRONET,PETRONET,,FUT,NSE,,INR,20190829,,,3000,,2,5.0,DATA
313,FEDERALBN,FEDERALBNK,,FUT,NSE,,INR,20190829,,,7000,,2,2.5,DATA
314,LICHSGFIN,LICHSGFIN,,FUT,NSE,,INR,20190829,,,1100,,2,10.0,DATA
315,BHARATFOR,BHARATFORG,,FUT,NSE,,INR,20190829,,,1200,,2,10.0,DATA
316,IGL,IGL,,FUT,NSE,,INR,20190829,,,2750,,2,5.0,DATA
317,TATAGLOBA,TATAGLOBAL,,FUT,NSE,,INR,20190829,,,2700,,2,5.0,DATA
318,ESCORTS,ESCORTS,,FUT,NSE,,INR,20190829,,,1100,,2,20.0,DATA
319,MGL,MGL,,FUT,NSE,,INR,20190829,,,600,,2,20.0,DATA
320,RBLBANK,RBLBANK,,FUT,NSE,,INR,20190829,,,1200,,2,10.0,DATA
321,MM,M&M,,FUT,NSE,,INR,20190829,,,1000,,2,10.0,DATA
322,PEL,PEL,,FUT,NSE,,INR,20190829,,,302,,2,50.0,DATA
323,APOLLOHOS,APOLLOHOSP,,FUT,NSE,,INR,20190829,,,500,,2,20.0,DATA
324,YESBANK,YESBANK,,FUT,NSE,,INR,20190829,,,2200,,2,10.0,DATA
